MassOfFuel,rho,CN,LHV,O2,YSI,MEP,Efficiency,diffEfficiency
53.75,787.3572171,45.72199932,40.16805091,2.269226258,20.823375,7.00941323,0.358685702,0.006849088
52.65625,841.1107998,52.37595199,41.8016468,1.825666541,51.32899671,6.996913905,0.358622685,0.014128567
58.125,760.1160621,54.97511135,41.2712535,15.30901135,26.79525012,6.997644966,0.358386302,0.042260553
55.390625,843.3238144,46.53045842,41.33507814,9.55966813,117.1397697,7.005267517,0.358368327,0.026788374
54.296875,792.4713573,48.34964071,42.44685593,17.59391675,119.4677236,7.009665511,0.358244126,0.02863782
51.5625,801.4251758,51.80451465,42.36400429,0.549208985,52.11697255,6.993063448,0.358201555,0.011260994
55.1171875,790.5110748,50.67861826,43.01353651,18.21364985,44.24530535,7.002456521,0.358072899,0.03797943
57.90223122,769.1597289,52.42436992,42.74077005,5.895823381,38.02481823,7.230950012,0.358029437,0.04138175
54.296875,845.4618069,50.38218294,42.2637304,7.750164133,67.82258944,7.000477196,0.357983504,0.027382965
54.296875,787.5021283,47.14033108,41.16703548,4.879004152,36.83617517,7.004026331,0.357506818,0.017926963
55.9375,813.5780059,47.32692787,40.14118935,18.66480851,118.8822905,7.006266532,0.35739023,0.019238222
59.21875,750.5768229,54.80119761,38.00873787,7.530307106,27.31586129,7.009586136,0.357230613,0.019734866
57.3046875,750.1738548,49.30033227,41.70511266,19.51604718,15.05620956,6.99977647,0.357195324,0.039783342
55.6640625,767.7286327,45.78616676,41.43363832,9.234923782,46.02467763,7.002526796,0.357048769,0.028011282
53.75,765.5368077,43.83983866,44.91816913,15.52782389,61.58609465,7.00695462,0.356950259,0.042430897
54.84375,755.1873312,40.57005141,43.00665707,13.33189737,44.71764266,6.997297131,0.35650135,0.034997559
54.296875,835.2691122,47.74479973,43.02158973,8.376685316,79.84908629,7.000863455,0.356393114,0.031598448
55.390625,756.405634,43.50954578,41.9946971,14.50655122,79.57860924,7.004750314,0.356390695,0.030043018
55.9375,840.4532898,43.70935279,39.45072927,5.689677556,32.26205609,6.996943734,0.35632167,0.012709222
55.9375,754.8166157,44.39034657,41.59693904,11.69170783,103.9287097,6.998794138,0.356277062,0.030307259
58.125,750.22698,44.37606942,38.08201749,6.711503477,17.44685412,7.000142506,0.356162409,0.013439966
52.3828125,790.067151,41.66290399,43.47617452,5.622604674,39.0275225,7.006050652,0.356128087,0.022738733
57.03125,835.9019504,45.79411073,39.10004159,8.619765979,97.26688864,6.992447658,0.3559508,0.016123949
52.109375,768.1357841,40.00780139,44.82157265,18.04801348,113.3711585,6.997438692,0.355839942,0.031160523
57.03125,756.4828073,47.80084571,40.31665709,18.02135942,56.59820527,6.995639857,0.355817459,0.026094922
51.5625,792.0333605,42.10817255,43.15126998,1.576470897,78.21978588,7.000505003,0.355660516,0.014687176
57.578125,815.6202166,50.12970732,38.1862723,5.741846201,33.76334856,7.008175583,0.355648753,0.010219746
